Image Name,Chi-Squared Distance
image_0967.jpg,7701.63
image_1080.jpg,7757.47
image_0006.jpg,7825.12
image_0132.jpg,7857.78
image_0324.jpg,7937.37
image_0561.jpg,7959.01
image_0644.jpg,8187.17
image_0588.jpg,8215.22
image_0831.jpg,8229.8
image_0977.jpg,8274.92
image_0861.jpg,8283.46
image_1049.jpg,8289.36
image_1026.jpg,8363.3
image_0896.jpg,8389.68
image_0891.jpg,8389.8
image_1159.jpg,8412.25
image_0088.jpg,8520.66
image_0117.jpg,8770.77
image_0317.jpg,8960.63
image_1121.jpg,8993.6
image_0725.jpg,9026.67
image_0450.jpg,9107.74
image_1167.jpg,9205.49
image_1082.jpg,9232.33
image_0268.jpg,9249.73
image_1058.jpg,9371.63
image_0574.jpg,9427.34
image_0882.jpg,9654.26
image_0921.jpg,9655.77
image_1335.jpg,9765.99
image_0369.jpg,9777.88
image_0181.jpg,9788.62
image_0436.jpg,9985.37
image_0471.jpg,9987.84
image_0947.jpg,10001.32
image_0337.jpg,10007.29
image_1075.jpg,10033.41
image_0849.jpg,10145.03
image_0696.jpg,10206.4
image_1124.jpg,10253.18
image_1133.jpg,10258.98
image_1213.jpg,10277.81
image_0200.jpg,10294.69
image_0800.jpg,10450.05
image_0297.jpg,10568.43
image_0414.jpg,10591.72
image_0464.jpg,10600.21
image_0473.jpg,10749.44
image_0956.jpg,10765.03
image_0182.jpg,10785.85
image_1017.jpg,10847.34
image_0982.jpg,10851.4
image_0767.jpg,10971.53
image_0922.jpg,10993.9
image_1067.jpg,11156.42
image_0941.jpg,11269.72
image_1173.jpg,11363.67
image_1154.jpg,11380.79
image_0829.jpg,11497.98
image_0013.jpg,11595.98
image_1267.jpg,11641.19
image_0067.jpg,11641.62
image_0018.jpg,11656.1
image_0984.jpg,11698.21
image_0840.jpg,11702.38
image_0370.jpg,12030.74
image_1271.jpg,12143.62
image_1073.jpg,12144.43
image_1352.jpg,12172.41
image_0344.jpg,12431.8
image_0607.jpg,12620.9
image_0036.jpg,12687.95
image_0505.jpg,12707.33
image_1229.jpg,12763.77
image_0379.jpg,12797.84
image_0207.jpg,12914.77
image_0496.jpg,13034.39
image_0342.jpg,13044.24
image_0909.jpg,13071.03
image_0188.jpg,13096.68
image_0935.jpg,13162.56
image_0673.jpg,13222.12
image_0068.jpg,13223.85
image_1235.jpg,13246.33
image_0012.jpg,13389.26
image_0010.jpg,13687.9
image_1351.jpg,13733.18
image_1277.jpg,13823.47
image_0239.jpg,13909.42
image_0059.jpg,13916.02
image_0597.jpg,14025.74
image_1015.jpg,14152.85
image_0385.jpg,14155.24
image_0434.jpg,14175.49
image_0467.jpg,14203.13
image_0591.jpg,14317.41
image_0478.jpg,14458.25
image_1156.jpg,14605.25
image_0632.jpg,14750.32
image_1324.jpg,14776.91
image_0386.jpg,14828.88
image_0355.jpg,15003.96
image_0041.jpg,15120.82
image_0168.jpg,15234.71
image_1169.jpg,15360.92
image_0069.jpg,15377.71
image_0774.jpg,15384.77
image_0616.jpg,15610.96
image_0148.jpg,15652.39
image_1023.jpg,15665.34
image_0375.jpg,15670.67
image_0223.jpg,15691.37
image_1251.jpg,15960.71
image_0558.jpg,16133.7
image_0116.jpg,16248.98
image_0669.jpg,16386.12
image_1036.jpg,16470.22
image_1065.jpg,16643.32
image_0220.jpg,16701.67
image_0944.jpg,16709.37
image_1258.jpg,16815.21
image_0728.jpg,16893.38
image_1233.jpg,16952.16
image_0512.jpg,17017.68
image_1330.jpg,17070.8
image_0330.jpg,17086.44
image_0934.jpg,17111.61
image_0979.jpg,17112.85
image_0546.jpg,17383.44
image_0047.jpg,17398.47
image_1052.jpg,17514.88
image_0919.jpg,17592.87
image_1190.jpg,17747.56
image_0810.jpg,18021.21
image_1317.jpg,18204.85
image_1299.jpg,18333.78
image_0196.jpg,18411.94
image_1104.jpg,18434.84
image_0285.jpg,18532.96
image_1329.jpg,18794.92
image_1260.jpg,18834.78
image_0727.jpg,19025.44
image_0439.jpg,19266.61
image_0453.jpg,19278.21
image_0077.jpg,19302.85
image_0174.jpg,19336.5
image_0466.jpg,19391.86
image_0092.jpg,19449.04
image_0445.jpg,19472.1
image_1098.jpg,19479.95
image_0680.jpg,19519.92
image_0318.jpg,19556.65
image_1163.jpg,19852.95
image_0203.jpg,19891.57
image_0769.jpg,19944.68
image_0433.jpg,20078.12
image_0470.jpg,20091.1
image_0789.jpg,20183.6
image_0711.jpg,20463.88
image_1274.jpg,20519.55
image_1342.jpg,20622.27
image_1344.jpg,20652.01
image_0365.jpg,20665.86
image_0569.jpg,20947.2
image_0609.jpg,21005.41
image_0299.jpg,21069.9
image_0518.jpg,21316.03
image_1139.jpg,21356.23
image_0474.jpg,21448.04
image_0075.jpg,21457.96
image_0281.jpg,21462.45
image_0437.jpg,21471.73
image_1285.jpg,21646.17
image_0746.jpg,21830.93
image_1269.jpg,21912.61
image_1355.jpg,21924.81
image_0229.jpg,21959.85
image_0336.jpg,22098.06
image_1305.jpg,22107.96
image_0458.jpg,22112.49
image_0346.jpg,22405.0
image_0230.jpg,22426.44
image_1270.jpg,22451.06
image_0994.jpg,22722.26
image_1144.jpg,22793.59
image_0483.jpg,22869.69
image_1147.jpg,22996.64
image_0033.jpg,23104.2
image_0046.jpg,23105.31
image_0981.jpg,23224.92
image_0719.jpg,23519.23
image_0877.jpg,23543.76
image_0870.jpg,23551.72
image_0815.jpg,23742.91
image_1193.jpg,23898.12
image_0279.jpg,23951.99
image_1259.jpg,24010.36
image_0907.jpg,24271.72
image_0428.jpg,24289.05
image_0104.jpg,24377.3
image_0826.jpg,24675.54
image_1240.jpg,24802.45
image_1332.jpg,24820.19
image_0102.jpg,24917.92
image_1227.jpg,25090.34
image_0564.jpg,25280.68
image_0975.jpg,25509.35
image_0889.jpg,25641.76
image_0961.jpg,25642.8
image_1336.jpg,25759.84
image_0081.jpg,25993.88
image_0912.jpg,26126.76
image_0808.jpg,26274.5
image_0923.jpg,26282.4
image_1311.jpg,26402.6
image_1327.jpg,26415.35
image_0703.jpg,26445.61
image_0115.jpg,26573.52
image_0293.jpg,26624.27
image_1328.jpg,26651.12
image_0689.jpg,26766.25
image_1286.jpg,26920.39
image_0167.jpg,26971.99
image_0813.jpg,27125.6
image_0023.jpg,27178.6
image_0578.jpg,27238.9
image_0178.jpg,27255.31
image_0835.jpg,27261.81
image_0544.jpg,27465.88
image_0120.jpg,27511.08
image_1057.jpg,27527.06
image_0133.jpg,27545.86
image_0094.jpg,27560.53
image_1310.jpg,27572.43
image_1297.jpg,27589.13
image_1112.jpg,27652.88
image_0408.jpg,27732.99
image_0803.jpg,27777.54
image_0070.jpg,28614.98
image_0459.jpg,28935.71
image_0427.jpg,28946.75
image_0964.jpg,28955.1
image_0162.jpg,28958.5
image_0593.jpg,28970.94
image_0954.jpg,29018.74
image_1221.jpg,29250.25
image_0749.jpg,29340.07
image_1061.jpg,29344.45
image_0832.jpg,29353.94
image_0853.jpg,29355.66
image_1137.jpg,29653.1
image_0715.jpg,29675.52
image_0585.jpg,30014.83
image_0184.jpg,30206.01
image_0321.jpg,30353.88
image_0354.jpg,30439.52
image_0513.jpg,30730.25
image_0195.jpg,31019.02
image_0503.jpg,31169.15
image_0584.jpg,31529.3
image_0869.jpg,31923.35
image_0224.jpg,32135.88
image_0604.jpg,32722.35
image_0790.jpg,32795.58
image_0363.jpg,33004.6
image_0052.jpg,33500.89
image_1228.jpg,33765.7
image_0366.jpg,33916.09
image_0598.jpg,34135.66
image_1148.jpg,34473.28
image_0523.jpg,34883.38
image_0079.jpg,34909.78
image_0825.jpg,35145.82
image_0215.jpg,35427.66
image_0504.jpg,35442.65
image_0169.jpg,35500.93
image_0005.jpg,35504.47
image_0112.jpg,35638.13
image_1257.jpg,36287.16
image_1066.jpg,36426.31
image_0710.jpg,36692.24
image_0009.jpg,36748.27
image_0485.jpg,36968.29
image_0206.jpg,37576.34
image_0253.jpg,37740.72
image_0802.jpg,38058.15
image_0841.jpg,38058.15
image_0816.jpg,38358.49
image_0135.jpg,38460.75
image_0786.jpg,38504.97
image_0520.jpg,38622.79
image_0804.jpg,38638.65
image_1224.jpg,38745.33
image_0431.jpg,38834.94
image_0267.jpg,38857.37
image_0469.jpg,39343.79
image_0422.jpg,39344.81
image_0103.jpg,39462.43
image_0699.jpg,39624.52
image_0872.jpg,39735.41
image_0958.jpg,40047.43
image_1350.jpg,40753.16
image_1255.jpg,40948.96
image_0506.jpg,40966.4
image_0755.jpg,41222.86
image_1331.jpg,41333.21
image_0991.jpg,41520.59
image_0406.jpg,41697.85
image_1027.jpg,42148.71
image_0563.jpg,42322.5
image_1205.jpg,42477.1
image_1177.jpg,42608.86
image_0314.jpg,42718.06
image_0100.jpg,42780.92
image_0577.jpg,42789.3
image_1123.jpg,42887.15
image_0409.jpg,43766.81
image_1088.jpg,44013.36
image_0583.jpg,44141.44
image_1020.jpg,44188.63
image_0024.jpg,44254.95
image_0541.jpg,44579.39
image_0995.jpg,44852.25
image_0429.jpg,45036.87
image_0460.jpg,45053.23
image_0085.jpg,45284.64
image_1014.jpg,45296.69
image_1050.jpg,45448.32
image_0412.jpg,45532.11
image_1143.jpg,45558.31
image_0468.jpg,45947.48
image_0411.jpg,46156.6
image_1029.jpg,46499.74
image_0016.jpg,46566.43
image_1184.jpg,46803.93
image_0165.jpg,47065.28
image_0150.jpg,47093.09
image_0852.jpg,47417.54
image_0565.jpg,47620.55
image_0357.jpg,47761.0
image_1138.jpg,47773.2
image_1254.jpg,48370.48
image_0594.jpg,49259.73
image_0160.jpg,49487.43
image_0443.jpg,49597.46
image_0424.jpg,49608.16
image_0090.jpg,49936.84
image_0416.jpg,49974.72
image_0517.jpg,50711.59
image_0830.jpg,50793.16
image_0015.jpg,51141.94
image_1189.jpg,51642.61
image_1289.jpg,51669.49
image_1060.jpg,52080.16
image_0915.jpg,52260.59
image_0926.jpg,52441.14
image_0906.jpg,52506.71
image_0730.jpg,52696.93
image_1129.jpg,52741.71
image_0968.jpg,52829.19
image_0216.jpg,53022.82
image_1064.jpg,53114.82
image_0240.jpg,53233.63
image_0553.jpg,53310.28
image_0211.jpg,53518.24
image_0974.jpg,53648.17
image_1256.jpg,53903.07
image_0953.jpg,54089.52
image_0430.jpg,54134.48
image_1272.jpg,54310.18
image_1046.jpg,54355.26
image_0204.jpg,54479.01
image_0273.jpg,54580.2
image_0397.jpg,55329.98
image_0074.jpg,56690.99
image_1004.jpg,57491.81
image_0320.jpg,57578.0
image_0768.jpg,58106.89
image_0643.jpg,58266.68
image_0183.jpg,58298.09
image_0661.jpg,58729.21
image_0241.jpg,58987.8
image_0857.jpg,59000.02
image_0371.jpg,59137.65
image_1110.jpg,59589.56
image_0347.jpg,59685.48
image_1042.jpg,59747.03
image_1141.jpg,59908.27
image_1237.jpg,60167.43
image_0446.jpg,60174.02
image_0418.jpg,60182.98
image_1280.jpg,60299.32
image_0190.jpg,60375.85
image_0202.jpg,60494.4
image_1253.jpg,60828.52
image_1219.jpg,60885.05
image_0423.jpg,60929.55
image_1242.jpg,61596.61
image_0494.jpg,61884.39
image_1232.jpg,61936.82
image_0709.jpg,62246.47
image_0675.jpg,62320.64
image_1359.jpg,62746.5
image_0758.jpg,63048.17
image_1105.jpg,63132.08
image_1202.jpg,63802.69
image_0153.jpg,64255.26
image_0026.jpg,64656.89
image_0086.jpg,64974.8
image_0495.jpg,65204.14
image_0341.jpg,65238.5
image_0300.jpg,65958.14
image_0401.jpg,66097.08
image_1307.jpg,67387.09
image_0266.jpg,67550.61
image_0335.jpg,68551.81
image_0258.jpg,68789.53
image_1118.jpg,68837.36
image_1300.jpg,69609.11
image_0713.jpg,69715.21
image_0136.jpg,69990.56
image_0019.jpg,70050.02
image_0582.jpg,70090.36
image_1293.jpg,70172.38
image_1217.jpg,70345.3
image_1182.jpg,70351.86
image_1268.jpg,70716.77
image_1089.jpg,72060.61
image_0376.jpg,72218.28
image_0008.jpg,72374.86
image_0060.jpg,72574.81
image_0933.jpg,72768.88
image_0655.jpg,73092.61
image_0402.jpg,73095.61
image_1157.jpg,73434.0
image_0617.jpg,73491.46
image_0686.jpg,73940.78
image_0472.jpg,74137.25
image_0657.jpg,74381.03
image_0945.jpg,74858.73
image_0654.jpg,74885.82
image_1282.jpg,75416.43
image_0698.jpg,75447.67
image_0812.jpg,76616.35
image_0072.jpg,76704.68
image_0788.jpg,76876.11
image_1333.jpg,77024.98
image_1039.jpg,77257.41
image_1135.jpg,77484.87
image_1238.jpg,78058.26
image_0580.jpg,78142.8
image_0579.jpg,78275.79
image_0843.jpg,78983.53
image_0781.jpg,79033.59
image_1047.jpg,79689.68
image_1283.jpg,79959.61
image_0827.jpg,80545.83
image_1225.jpg,80694.39
image_0301.jpg,81202.4
image_0969.jpg,81612.57
image_0837.jpg,81938.73
image_1054.jpg,82036.32
image_0581.jpg,82522.3
image_0865.jpg,82749.05
image_1025.jpg,82796.24
image_1315.jpg,82812.08
image_0265.jpg,82871.32
image_1128.jpg,83093.8
image_0109.jpg,83436.62
image_0448.jpg,83813.23
